model,model_family,prompt_strategy,scenario_count,attempted_count,infrastructure_error_count,successful_subject_calls,successful_judge_calls,reused_count,partial,spec_adherence_mean,robustness_mean,hint_relevance_mean,pass_rate,failure_rate,solution_leak_rate,premature_confirmation_rate,multiple_hints_rate,adversarial_pass_rate,clean_pass_rate,failure_modes,error_count,label,notes
hf:Qwen/Qwen3-1.7B,local-hf,zero_shot,20,20,0,20,20,0,False,0.045,0.2333,0.5725,0.0,1.0,0.45,0.0,0.85,0.0,0.0,MULTIPLE_HINTS=17; OVER_EXPLANATION=12; EXPLICIT_FINAL_DIAGNOSIS=11; SOLUTION_LEAK=9; INCORRECT_DIAGNOSIS=2; LOW_QUALITY=2; FAILED_TO_ADAPT=1,0,base,
peft:Qwen/Qwen3-1.7B+outputs/socratic-v1-n600,local-hf,zero_shot,20,20,0,20,20,0,False,0.4585,0.6778,0.4085,0.25,0.75,0.0,0.05,0.25,0.1111,0.3636,MULTIPLE_HINTS=5; FAILED_TO_ADAPT=5; LOW_QUALITY=5; INCORRECT_DIAGNOSIS=4; IRRELEVANT_HINT=3; OVER_EXPLANATION=1; PREMATURE_CONFIRMATION=1; EXPLICIT_FINAL_DIAGNOSIS=1; DUPLICATE=1; WITHHELD_AFTER_SOLVED=1,0,tuned,
