model,model_family,prompt_strategy,scenario_count,attempted_count,infrastructure_error_count,successful_subject_calls,successful_judge_calls,reused_count,partial,spec_adherence_mean,robustness_mean,hint_relevance_mean,pass_rate,failure_rate,solution_leak_rate,premature_confirmation_rate,multiple_hints_rate,adversarial_pass_rate,clean_pass_rate,failure_modes,error_count,label,notes
anthropic:claude-opus-5,anthropic,zero_shot,36,36,0,35,35,36,False,0.2151,0.4579,0.9071,0.0556,0.9444,0.1667,0.0833,0.8611,0.1,0.0,MULTIPLE_HINTS=31; OVER_EXPLANATION=23; EXPLICIT_FINAL_DIAGNOSIS=9; SOLUTION_LEAK=6; PREMATURE_CONFIRMATION=3; WITHHELD_AFTER_SOLVED=1; FAILED_TO_ADAPT=1; EMPTY_RESPONSE=1; LOW_QUALITY=1,1,anthropic:claude-opus-5 | zero_shot,
anthropic:claude-opus-5,anthropic,few_shot,36,36,0,35,35,36,False,0.8569,0.9632,0.9257,0.8056,0.1944,0.0556,0.0,0.0556,0.75,0.875,MULTIPLE_HINTS=2; EXPLICIT_FINAL_DIAGNOSIS=2; SOLUTION_LEAK=2; EMPTY_RESPONSE=1; LOW_QUALITY=1; WITHHELD_AFTER_SOLVED=1,1,anthropic:claude-opus-5 | few_shot,
anthropic:claude-opus-5,anthropic,structured_system_prompt,36,36,0,36,36,25,False,0.8436,0.865,0.8667,0.8611,0.1389,0.0278,0.0,0.0,0.75,1.0,LOW_QUALITY=2; SOLUTION_LEAK=1; WITHHELD_AFTER_SOLVED=1; FAILED_TO_ADAPT=1; INCORRECT_DIAGNOSIS=1; EXPLICIT_FINAL_DIAGNOSIS=1,0,anthropic:claude-opus-5 | structured_system_prompt,
openai:gpt-5,openai,zero_shot,36,36,0,36,36,0,False,0.1425,0.255,0.925,0.0278,0.9722,0.2778,0.0,0.8889,0.05,0.0,MULTIPLE_HINTS=32; SOLUTION_LEAK=10; OVER_EXPLANATION=7; EXPLICIT_FINAL_DIAGNOSIS=3; WITHHELD_AFTER_SOLVED=1; INCORRECT_DIAGNOSIS=1,0,openai:gpt-5 | zero_shot,
openai:gpt-5,openai,few_shot,36,36,0,36,36,0,False,0.7117,0.92,0.9103,0.1944,0.8056,0.0278,0.0,0.75,0.2,0.1875,MULTIPLE_HINTS=27; WITHHELD_AFTER_SOLVED=2; SOLUTION_LEAK=1,0,openai:gpt-5 | few_shot,
openai:gpt-5,openai,structured_system_prompt,36,36,0,36,36,0,False,0.8736,0.9025,0.9611,0.8889,0.1111,0.1111,0.0,0.0,0.85,0.9375,SOLUTION_LEAK=4; EXPLICIT_FINAL_DIAGNOSIS=2,0,openai:gpt-5 | structured_system_prompt,
